code,name
1305,ダイワ 上場投信-トピックス
1306,TOPIX連動型上場投資信託
1308,上場インデックスファンドTOPIX
1309,上海株式指数･上証50連動型上場投資信託
1310,ダイワ 上場投信-トピックス･コア30
1311,TOPIXCore30連動型上場投資信託
1312,小型コア･インデックス連動型上場投資信託
1313,サムスンKODEX200上場指数投資信託
1314,上場インデックスファンドS&P日本新興株100
1319,日経300株価指数連動型上場投資信託
1320,ダイワ 上場投信-日経225
1321,日経225連動型上場投資信託
1322,上場インデックスファンド中国A株CSI300
1323,(NEXT FUNDS)南アフリカ株式指数上場投信
1324,(NEXT FUNDS)ロシア株式指数上場投信
1325,(NEXT FUNDS)ブラジル株式指数上場投信
1326,SPDRゴールド･シェア
1327,S&P GSCI商品指数エネルギー＆メタル
1328,金価格連動型上場投資信託
1329,iシェアーズ日経225ETF
1330,上場インデックスファンド225
1343,(NEXT FUNDS)東証REIT指数連動型上場投信
1344,MAXIS トピックス･コア30上場投信
1345,上場インデックスファンドJリート隔月分配
1346,MAXIS 日経225上場投信
1347,上場インデックスFTSE日本グリーンチップ35
1348,MAXIS トピックス上場投信
1349,ABF 汎アジア債券インデックス･ファンド
1356,TOPIXベア2倍上場投信
1357,(NEXT FUNDS) 日経ダブルインバース上場投信
1358,上場インデックス日経レバレッジ指数
1360,日経平均ベア2倍上場投信
1361,iS米国Hイールド債券ETF(iBoxxドル建てLHYC)
1362,iS新興国債券ETF(Local EM国債コア)
1363,iS米国債ETF(米7-10年国債)
1364,ｉシェアーズ JPX日経400 ETF
1365,ダイワ 上場投信-日経平均レバレッジ
1366,ダイワ 上場投信-日経平均ダブルインバース
1367,ダイワ 上場投信-TOPIXレバレッジ(2倍)
1368,ダイワ 上場投信-TOPIX Wインバース(-2倍)
1369,One ETF 日経225
1385,UBS ETF ユーロ圏大型株50(E･ストックス50)
1386,UBS ETF 欧州株(MSCIヨーロッパ)
1387,UBS ETF 欧州通貨圏株(MSCI EMU)
1388,UBS ETF 欧州通貨圏小型株(MSCI EMU小型株)
1389,UBS ETF 英国大型株100(FTSE 100)
1390,UBS ETF MSCIアジア太平洋株(除く日本)
1391,UBS ETF スイス株(MSCIスイス20/35)
1392,UBS ETF 英国株(MSCI英国)
1393,UBS ETF 米国株(MSCI米国)